artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
1,2016,806397070,21574,30,112,68,266,160,54,54,55,67,0,42,11,1,0
1,2019,2132335812,19664,16,391,73,633,120,70,59,75,24,0,9,4,0,0
1,2010,1641426668,21106,13,82,0,2946,109,63,46,85,1,0,9,5,8,0
1,2013,2135158446,23804,31,187,99,4623,129,57,41,66,63,0,12,5,7,1
2,2022,367316268,849,22,27,129,21,157,54,75,60,30,0,7,5,10,0
1,2021,350381515,2619,12,47,90,1,130,63,49,73,5,0,9,3,9,0
1,2022,1264310836,9037,42,124,133,139,107,65,19,72,10,0,13,25,8,1
1,2023,30343206,86,11,3,33,3,146,50,67,89,0,0,19,8,3,1
1,2020,405136812,1788,14,1,50,19,139,48,37,41,32,0,10,10,1,1
1,1968,1145727611,15890,14,71,37,653,116,74,76,70,7,0,13,3,0,0
1,2010,540654286,492,36,4,3,19,95,84,52,77,12,0,7,4,9,1
4,2023,57312735,773,33,20,46,21,170,62,55,80,15,0,37,7,11,1
1,2022,397582059,1154,22,28,125,11,134,81,18,64,3,0,10,11,9,1
1,1984,1479115056,44927,17,34,0,5108,84,57,86,90,2,0,9,5,9,1
4,2023,86773632,551,4,13,46,20,146,61,20,48,21,0,12,6,3,1
5,2023,133753727,577,14,22,18,15,74,53,24,67,11,0,10,28,2,1
1,2023,123124076,955,29,37,50,79,144,75,35,48,84,0,10,12,3,0
3,2022,463564958,995,19,12,117,9,136,77,79,73,15,0,27,10,3,1
3,2023,64533040,178,6,6,71,1,100,56,53,55,53,0,12,4,7,0
1,2023,65496046,290,19,9,101,5,105,89,67,78,9,0,7,33,8,1
1,2023,68616963,547,0,15,15,6,106,67,24,78,15,0,30,4,8,0
2,2023,161460990,681,10,15,92,21,132,85,53,68,40,0,9,4,5,0
2,2023,70106975,332,5,18,41,5,120,78,5,30,21,0,13,5,1,0
2,2023,113509496,1197,13,44,34,25,155,82,51,39,2,0,9,49,4,0
2,2023,89933133,262,5,8,60,4,129,70,42,43,78,0,11,3,11,0
2,2022,71007139,161,6,10,79,2,135,80,85,74,62,0,8,9,8,1
2,2023,43522589,185,3,5,6,4,98,73,45,62,28,0,13,13,2,1
1,2023,232896922,839,18,20,110,20,124,84,64,39,3,0,11,4,1,1
3,2023,37126685,259,0,5,17,5,135,77,28,55,18,0,22,15,1,1
1,2023,195576623,2915,30,116,69,107,107,78,39,53,30,0,11,6,5,0
2,2022,532336353,5129,25,116,84,114,96,54,25,74,14,0,9,11,5,0
2,2022,538115192,3794,34,47,77,53,123,71,58,70,30,0,32,19,11,0
2,2023,46142772,588,0,23,21,31,90,62,7,62,6,0,58,6,11,0
3,2022,401036314,2959,16,41,69,38,117,72,45,59,14,0,20,21,8,1
2,2023,127026613,291,8,8,78,4,133,78,90,84,31,0,7,4,1,1
1,2022,345031710,2321,36,29,65,34,96,74,61,83,11,0,35,6,11,1
2,2022,288101651,536,10,10,72,8,149,66,85,60,40,0,14,13,11,0
2,2023,60350538,359,2,1,0,9,110,66,32,40,81,0,11,3,9,1
1,2022,335074782,4096,6,118,48,143,105,95,62,52,3,0,5,16,9,0
1,2023,76767396,349,69,8,96,5,105,80,69,78,28,0,11,14,4,0
2,2023,46065667,381,5,23,82,6,134,76,61,58,6,0,16,3,3,0
1,2022,459276435,2461,36,47,66,45,170,71,59,56,4,0,27,12,7,1
2,2023,39666245,277,1,1,20,5,81,59,26,60,46,1,25,13,9,0
2,2023,138517666,967,5,7,29,51,154,63,75,92,31,0,91,5,9,0
1,2022,822633917,8186,12,155,72,131,169,69,69,51,63,0,38,4,4,0
1,2022,595900742,7842,10,215,88,330,115,78,64,69,4,0,7,14,10,0
2,2023,51985779,215,6,6,14,8,84,43,14,74,1,0,19,8,1,1
2,2023,57945987,1134,22,39,14,48,93,79,58,62,11,0,11,23,11,0
2,2023,115010040,1305,34,29,26,43,91,82,47,62,10,0,10,15,10,0
1,2023,175097833,2066,6,58,70,43,142,82,54,44,6,0,33,7,2,1
2,2023,57089066,896,0,34,2,33,126,78,20,70,1,0,16,4,4,0
1,2022,488386797,3763,8,51,43,38,97,73,10,44,26,0,16,8,2,0
5,2023,32761689,197,0,3,10,3,101,92,59,51,41,51,26,8,8,0
1,2022,1047480053,4004,33,34,65,43,98,80,23,48,14,0,6,5,10,1
1,2023,153454328,984,5,8,57,76,154,59,63,89,18,0,80,9,9,0
1,2023,217672943,1240,24,51,29,63,120,91,63,58,52,0,31,22,1,0
1,2022,457184829,3995,13,72,27,47,150,49,4,55,7,0,6,3,3,0
1,2016,939844851,7681,13,119,66,1145,174,47,27,78,11,0,10,8,1,0
1,2021,726434358,4427,4,69,100,154,202,34,25,51,69,0,18,4,2,0
2,2022,573633020,4657,18,84,84,42,153,56,42,52,5,0,36,24,3,1
1,2021,1406111294,10195,20,258,87,657,142,60,13,37,58,0,13,3,8,0
2,2023,71573339,269,4,7,2,30,108,84,55,47,26,0,20,64,1,1
2,2023,24975653,214,0,3,3,6,143,83,25,69,4,0,23,12,3,0
1,2023,145458418,845,2,12,57,47,108,67,55,67,60,0,80,5,5,0
1,2000,1424589568,20763,27,81,53,3271,104,95,78,66,3,0,4,6,8,1
3,2022,231332117,1267,20,41,22,56,93,84,96,79,43,0,18,11,9,1
1,2021,415932686,2585,32,3,79,21,105,65,46,53,16,0,9,5,9,1
1,2022,988515741,6330,6,109,42,158,170,44,27,32,89,0,14,5,11,0
3,2023,50847624,675,1,9,13,11,178,62,56,66,18,0,12,5,4,1
1,2023,39893489,715,0,37,3,27,176,50,44,76,10,0,32,5,9,1
2,2023,92035115,327,13,14,110,9,104,80,38,88,11,0,11,5,7,1
